Post number,Subject,Body,Post color,Author,Created At (UTC),Updated At (UTC)
1,Dare,"Vær mere åben og social i håbet om at få et bedre kameraetskab 

",White,Thoughtful Crane,"Aug 25, 2025 11:04am","Sep 17, 2025 06:07pm"
2,Dare,"Blive bedre til at udfordre os selv, og hop ud i nye ting.",White,"Khattab, Amaan, Emre og Musa","Aug 25, 2025 11:04am","Sep 17, 2025 06:07pm"
3,Dare,"•Mod til at spørge om hjælp
•Nysgerrighed over for hinanden
•Ny viden",White,Busy Hornet,"Aug 25, 2025 11:04am","Sep 17, 2025 06:07pm"
4,Dare,Jeg vil gerne være bedre til at lave lektier,White,Sleepy Kangaroo,"Aug 25, 2025 11:05am","Sep 17, 2025 06:07pm"
5,DARE SHARE CARE,"Vi kunne godt tænke os sammen at blive bedre til at hoppe ud af vores komfortzone

Vi kunne godt tænke os sammen at blive bedre til at dele vores fremskridt og deltage i en fælles rejse for udvikling

Vi kunne godt tænke os sammen at blive bedre til at tage os af hinanden og vise omsorg så vi kan sørge for at gruppen altid forbliver en helhed",White,Awesome Kangaroo,"Aug 25, 2025 11:05am","Sep 17, 2025 06:07pm"
6,Dare,Vi kunne godt tænke os at blive bedre til at slippe tvivlen og tro på egen kunnen - stoppe med at være så meget i ens eget hoved,White,Helpful Tuna,"Aug 25, 2025 11:05am","Sep 17, 2025 06:07pm"
7,Dare - Share - Care,"Dare

Vær ikke bange for at spørge om hjælp, der ingen grund til at sidde alene med problemet

Share

Hjælp dine klassekammerater, både med skolearbejde og det sociale 

Care

Vise at du har tillid til dine klassekammerater og er ansvarlig for de opgaver der bliver stillet 
Samt skabe et trygt fællesskab ",Green,Peaceful Bear,"Aug 25, 2025 11:06am","Sep 17, 2025 06:07pm"
8,Dare,… Tørre at spørge om hjælp,White,Optimistic Gecko,"Aug 25, 2025 11:06am","Sep 17, 2025 06:07pm"
9,Share,Vi kunne godt tænke os at tilbyde sin hjælp og dele sin viden - turde at fejre ens succes ,White,Helpful Tuna,"Aug 25, 2025 11:08am","Sep 17, 2025 06:07pm"
10,Share,"•Dele sine kompetencer og viden
•Dele sine usikkerheder 

",White,Busy Hornet,"Aug 25, 2025 11:08am","Sep 17, 2025 06:07pm"
11,Share,"Have indsigt i hinandens styrker og udviklingsområder
Arbejde sammen mod fælles mål
Skabe motivation og bidrage til at optimere hinandens indsats

",White,"Khattab, Amaan, Emre og Musa","Aug 25, 2025 11:09am","Sep 17, 2025 06:07pm"
12,Care,… Spørge ens klassekammerater om de har brug for hjælp,White,Optimistic Gecko,"Aug 25, 2025 11:09am","Sep 17, 2025 06:07pm"
13,Share,… dele ens tankergang for hvordan man er kommet frem til en opgave løsning,White,Optimistic Gecko,"Aug 25, 2025 11:10am","Sep 17, 2025 06:07pm"
14,Care,Vi kunne godt tænke os at blive bedre til at huske at fejre andres succes (med kage) ,White,Helpful Tuna,"Aug 25, 2025 11:10am","Sep 17, 2025 06:07pm"
15,Dare,"Vi kunne godt tænke os at tage mere initiativ til at skubbe gruppen i gang 

Vi kunne godt tænke os at være at være klar på at træffe svære valg 

Vi kunne godt tænke os at skabe et miljø, hvor man tør fejle uden at blive dømt ",White,Liverpool,"Aug 25, 2025 11:10am","Sep 17, 2025 06:07pm"
16,Care,"•Være åben og tolerant
•Tålmodighed 
•Tage ansver for egen handling
•",White,Busy Hornet,"Aug 25, 2025 11:11am","Sep 17, 2025 06:07pm"
17,Care,"Støtte og hjælpe hinanden i opgaveløsningen
Sikre inddragelse af alle gruppemedlemmer
Arbejde inkluderende uden at udelukke nogen

",White,"Khattab, Amaan, Emre og Musa","Aug 25, 2025 11:11am","Sep 17, 2025 06:07pm"
18,Dare:,"Hjælpe hinanden/ikke være bange for at spørge om hjælp

Share: vi vil gerne dele vores viden især noter med hinanden , så vi alle kan følge med.

Care: vi vil altid støtte hinanden, dele hjælpe samt være omsorgsfuld. ",White,Hold A/ hold skæg,"Aug 25, 2025 11:11am","Sep 17, 2025 06:07pm"
19,Share,"Del emner og forståelse med gruppen, således at alle er med.",White,Thoughtful Crane,"Aug 25, 2025 11:11am","Sep 17, 2025 06:07pm"
20,Share ,"Vi kunne godt tænke os at dele og modtage den viden vi får lært 

Vi kunne godt tænke os at begynde gruppearbejde med at forventningsafstemme 

Vi kunne godt tænke os at skabe et miljø hvor man er åben for at lære fra andre ",White,Liverpool,"Aug 25, 2025 11:13am","Sep 17, 2025 06:07pm"
21,Care ,"Vi kunne godt tænke os at sørge for alle er inkluderede i fællesskabet 

Vi kunne godt tænke os at passe på hinanden ",White,Liverpool,"Aug 25, 2025 11:14am","Sep 17, 2025 06:07pm"
22,Dare - Share - Care,"Dare - Vi kunne godt tænke os at blive bedre til at kode generelt
Share - vi kunne godt tænke os at blive bedre til at opnå højeste kompetencer, såfremt at man kan dele det med andre 
Care - vi kunne godt tænke os at blive bedre til at finde rytmen med hinanden, udvikle venskaber og samarbejde",White,B,"Aug 25, 2025 11:15am","Sep 17, 2025 06:07pm"
23,Dare-share-care,"        DareÅbensindet tilgang til opgaverne
Tør at spørge om hjælp

Share
Dele dine tanker og styrker med de andre

Care
Overholde aftaler i gruppen
Lyt til sine medstuderende 

",White,Oliver.S,"Aug 25, 2025 11:20am","Sep 17, 2025 06:07pm"
